year,month,orderdate,turnover,quantity,country,city,productname,categoryname
2016,8,2016-08-16,1576.000061,40,Germany,Cunewalde,Tarte au sucre,Confections
2016,8,2016-08-17,555.9999847,40,Brazil,Rio de Janeiro,Pavlova,Confections
2016,8,2016-08-17,223.9999962,20,Brazil,Rio de Janeiro,Sasquatch Ale,Beverages
2016,8,2016-08-17,144.0000057,15,Brazil,Rio de Janeiro,Spegesild,Seafood
2016,8,2016-08-18,59.00000095,10,Italy,Reggio Emilia,TourtiÃ¨re,Meat/Poultry
2016,8,2016-08-18,30,3,Italy,Reggio Emilia,Scottish Longbreads,Confections
2016,8,2016-08-21,240,30,UK,London,Aniseed Syrup,Condiments
2016,8,2016-08-21,239.4000034,9,UK,London,Wimmers gute SemmelknÃ¶del,Grains/Cereals
2016,8,2016-08-22,340,20,Brazil,Sao Paulo,Chef Anton's Gumbo Mix,Condiments
2016,8,2016-08-22,1485,15,Brazil,Sao Paulo,ThÃ¼ringer Rostbratwurst,Meat/Poultry
2016,8,2016-08-22,240,15,Brazil,Sao Paulo,Maxilaku,Confections
2016,8,2016-08-22,103.9999962,10,Brazil,Sao Paulo,Original Frankfurter grÃ¼ne SoÃe,Condiments
2016,8,2016-08-22,96.00000381,20,Brazil,Rio de Janeiro,Konbu,Seafood
2016,8,2016-08-22,372,24,Brazil,Rio de Janeiro,Gula Malacca,Condiments
2016,8,2016-08-22,84.80000305,2,Brazil,Rio de Janeiro,Manjimup Dried Apples,Produce
2016,8,2016-08-23,1296.000061,20,Brazil,Sao Paulo,Sir Rodney's Marmalade,Confections
2016,8,2016-08-24,600,12,Mexico,México D.F.,Carnarvon Tigers,Seafood
2016,8,2016-08-24,35.99999905,10,Mexico,México D.F.,GuaranÃ¡ FantÃ¡stica,Beverages
2016,8,2016-08-24,175.4999924,5,Mexico,México D.F.,Vegie-spread,Condiments
2016,8,2016-08-24,37.19999886,6,Mexico,México D.F.,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,8,2016-08-25,259.1999931,18,USA,Albuquerque,Chai,Beverages
2016,8,2016-08-25,468.0000114,15,USA,Albuquerque,Alice Mutton,Meat/Poultry
2016,8,2016-08-25,551.9999886,15,USA,Albuquerque,Ipoh Coffee,Beverages
2016,8,2016-08-25,571.200016,21,USA,Albuquerque,Camembert Pierrot,Dairy Products
2016,8,2016-08-25,37.19999886,6,USA,Albuquerque,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,8,2016-08-28,121.5999985,4,France,Reims,Gnocchi di nonna Alice,Grains/Cereals
2016,8,2016-08-29,201.5999908,12,Venezuela,Barquisimeto,Queso Cabrales,Dairy Products
2016,8,2016-08-29,416.9999886,30,Venezuela,Barquisimeto,Pavlova,Confections
2016,8,2016-08-29,431.9999886,15,Venezuela,Barquisimeto,Gudbrandsdalsost,Dairy Products
2016,8,2016-08-30,863.9999771,60,France,Strasbourg,Chartreuse verte,Beverages
2016,8,2016-08-30,555.9999847,20,France,Strasbourg,Mozzarella di Giovanni,Dairy Products
2016,8,2016-08-31,607.9999924,40,Ireland,Cork,Chang,Beverages
2016,8,2016-08-31,607.9999924,40,Ireland,Cork,Inlagd Sill,Seafood
2016,8,2016-08-31,1320,30,Ireland,Cork,Raclette Courdavault,Dairy Products
2016,8,2016-08-31,591.0000229,15,Ireland,Cork,Tarte au sucre,Confections
2016,9,2016-09-01,109.5000029,15,Brazil,Rio de Janeiro,Teatime Chocolate Biscuits,Confections
2016,9,2016-09-01,240,20,Brazil,Rio de Janeiro,Outback Lager,Beverages
2016,9,2016-09-04,408.0000114,30,Italy,Bergamo,Louisiana Hot Spiced Okra,Condiments
2016,9,2016-09-04,200,20,Italy,Bergamo,Scottish Longbreads,Confections
2016,9,2016-09-04,146.9999981,10,Germany,Stuttgart,Boston Crab Meat,Seafood
2016,9,2016-09-04,607.9999924,20,Germany,Stuttgart,Gnocchi di nonna Alice,Grains/Cereals
2016,9,2016-09-05,1248.000031,40,Belgium,Charleroi,Alice Mutton,Meat/Poultry
2016,9,2016-09-05,1019.200043,28,Belgium,Charleroi,RÃ¶ssle Sauerkraut,Produce
2016,9,2016-09-05,441.5999908,12,Belgium,Charleroi,Ipoh Coffee,Beverages
2016,9,2016-09-06,587.9999924,40,Spain,Sevilla,Boston Crab Meat,Seafood
2016,9,2016-09-06,503.9999771,30,Spain,Sevilla,Louisiana Fiery Hot Pepper Sauce,Condiments
2016,9,2016-09-06,150,15,Spain,Sevilla,Scottish Longbreads,Confections
2016,9,2016-09-07,480,30,Mexico,México D.F.,Maxilaku,Confections
2016,9,2016-09-07,440,10,Mexico,México D.F.,Raclette Courdavault,Dairy Products
2016,9,2016-09-07,34.40000153,2,Mexico,México D.F.,Flotemysost,Dairy Products
2016,9,2016-09-08,1250,25,USA,Anchorage,Carnarvon Tigers,Seafood
2016,9,2016-09-08,2475,25,USA,Anchorage,ThÃ¼ringer Rostbratwurst,Meat/Poultry
2016,9,2016-09-08,431.9999886,30,USA,Anchorage,Chartreuse verte,Beverages
2016,9,2016-09-11,207.0000076,10,Spain,Madrid,Nord-Ost Matjeshering,Seafood
2016,9,2016-09-11,262.0000076,10,Spain,Madrid,Perth Pasties,Meat/Poultry
2016,9,2016-09-11,29.50000048,5,Spain,Madrid,TourtiÃ¨re,Meat/Poultry
2016,9,2016-09-12,394.0000153,10,USA,Portland,Tarte au sucre,Confections
2016,9,2016-09-12,30,3,USA,Portland,Scottish Longbreads,Confections
2016,9,2016-09-13,28.79999924,1,Mexico,México D.F.,Gudbrandsdalsost,Dairy Products
2016,9,2016-09-13,60,5,Mexico,México D.F.,Outback Lager,Beverages
2016,9,2016-09-14,352.0000076,20,Ireland,Cork,Chef Anton's Cajun Seasoning,Condiments
2016,9,2016-09-14,600,30,Ireland,Cork,Grandma's Boysenberry Spread,Condiments
2016,9,2016-09-14,22.39999962,2,Ireland,Cork,Singaporean Hokkien Fried Mee,Grains/Cereals
2016,9,2016-09-14,735.9999847,20,Ireland,Cork,Ipoh Coffee,Beverages
2016,9,2016-09-14,51.60000229,3,Ireland,Cork,Flotemysost,Dairy Products
2016,9,2016-09-15,138.9999962,10,USA,Portland,Pavlova,Confections
2016,9,2016-09-15,197.0000076,5,USA,Portland,Tarte au sucre,Confections
2016,9,2016-09-15,67.19999886,6,France,Nantes,Singaporean Hokkien Fried Mee,Grains/Cereals
2016,9,2016-09-15,201.5999947,7,France,Nantes,Gudbrandsdalsost,Dairy Products
2016,9,2016-09-18,145.6000061,4,Germany,Stuttgart,RÃ¶ssle Sauerkraut,Produce
2016,9,2016-09-18,883.1999817,24,Germany,Stuttgart,Ipoh Coffee,Beverages
2016,9,2016-09-18,524.0000153,20,Germany,Stuttgart,Perth Pasties,Meat/Poultry
2016,9,2016-09-18,61.99999809,10,Germany,Stuttgart,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,9,2016-09-19,182.3999977,12,Germany,Cunewalde,Inlagd Sill,Seafood
2016,9,2016-09-20,1024.000015,40,USA,Albuquerque,Mascarpone Fabioli,Dairy Products
2016,9,2016-09-20,318.0000114,30,USA,Albuquerque,Escargots de Bourgogne,Seafood
2016,9,2016-09-20,985.0000381,25,USA,Albuquerque,Tarte au sucre,Confections
2016,9,2016-09-21,156.7999973,14,UK,Cowes,Sasquatch Ale,Beverages
2016,9,2016-09-21,360,30,UK,Cowes,Outback Lager,Beverages
2016,9,2016-09-22,76.99999809,10,USA,Albuquerque,Jack's New England Clam Chowder,Seafood
2016,9,2016-09-22,2758.000107,70,USA,Albuquerque,Tarte au sucre,Confections
2016,9,2016-09-25,287.9999924,20,USA,Portland,Chai,Beverages
2016,9,2016-09-26,153.9999962,20,UK,Cowes,Jack's New England Clam Chowder,Seafood
2016,9,2016-09-26,86.39999771,6,UK,Cowes,LakkalikÃ¶Ã¶ri,Beverages
2016,9,2016-09-27,249.6000061,8,Mexico,México D.F.,Alice Mutton,Meat/Poultry
2016,9,2016-09-27,509.6000214,14,Mexico,México D.F.,RÃ¶ssle Sauerkraut,Produce
2016,9,2016-09-27,431.9999886,30,Mexico,México D.F.,LakkalikÃ¶Ã¶ri,Beverages
2016,9,2016-09-28,516.0000229,30,Finland,Oulu,Flotemysost,Dairy Products
2016,9,2016-09-28,143.9999962,10,UK,Cowes,Steeleye Stout,Beverages
2016,9,2016-09-29,111.9999981,20,Mexico,México D.F.,Filo Mix,Grains/Cereals
2016,10,2016-10-02,61.99999809,5,Germany,Brandenburg,Genen Shouyu,Condiments
2016,10,2016-10-02,44.79999924,4,Germany,Brandenburg,NuNuCa NuÃ-Nougat-Creme,Confections
2016,10,2016-10-02,57.59999847,4,Germany,Brandenburg,Chartreuse verte,Beverages
2016,10,2016-10-03,291.899992,21,USA,Boise,Pavlova,Confections
2016,10,2016-10-03,1007.999973,70,USA,Boise,Steeleye Stout,Beverages
2016,10,2016-10-03,288.0000114,30,USA,Boise,Spegesild,Seafood
2016,10,2016-10-03,1760,40,USA,Boise,Raclette Courdavault,Dairy Products
2016,10,2016-10-03,2807.999878,80,USA,Boise,Vegie-spread,Condiments
2016,10,2016-10-04,120,6,Germany,Brandenburg,Grandma's Boysenberry Spread,Condiments
2016,10,2016-10-04,57.60000229,12,Germany,Brandenburg,Konbu,Seafood
2016,10,2016-10-04,167.4000034,9,Germany,Brandenburg,Tofu,Produce
2016,10,2016-10-04,40,4,Germany,Brandenburg,Gorgonzola Telino,Dairy Products
2016,10,2016-10-04,1111.999969,40,Germany,Brandenburg,Mozzarella di Giovanni,Dairy Products
2016,10,2016-10-05,422.4000092,24,Spain,Madrid,Chef Anton's Cajun Seasoning,Condiments
2016,10,2016-10-05,249.6000061,16,Spain,Madrid,Ravioli Angelo,Grains/Cereals
2016,10,2016-10-05,309.9999905,50,Spain,Madrid,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,10,2016-10-06,379.9999952,25,Sweden,Bräcke,Chang,Beverages
2016,10,2016-10-06,839.9999619,50,Sweden,Bräcke,Queso Cabrales,Dairy Products
2016,10,2016-10-06,724.5000267,35,Sweden,Bräcke,Nord-Ost Matjeshering,Seafood
2016,10,2016-10-06,318.0000114,30,Sweden,Bräcke,Escargots de Bourgogne,Seafood
2016,10,2016-10-09,396,9,Portugal,Lisboa,Raclette Courdavault,Dairy Products
2016,10,2016-10-09,671.9999695,40,Portugal,Lisboa,Louisiana Fiery Hot Pepper Sauce,Condiments
2016,10,2016-10-09,100,10,Portugal,Lisboa,Scottish Longbreads,Confections
2016,10,2016-10-10,73.00000191,10,USA,Lander,Teatime Chocolate Biscuits,Confections
2016,10,2016-10-10,165.6000061,8,USA,Lander,Nord-Ost Matjeshering,Seafood
2016,10,2016-10-10,4216.000061,20,USA,Lander,CÃ´te de Blaye,Beverages
2016,10,2016-10-10,364.7999954,12,USA,Lander,Gnocchi di nonna Alice,Grains/Cereals
2016,10,2016-10-11,1244.999981,50,Venezuela,Barquisimeto,GumbÃ¤r GummibÃ¤rchen,Confections
2016,10,2016-10-11,694.9999809,25,Venezuela,Barquisimeto,Mozzarella di Giovanni,Dairy Products
2016,10,2016-10-11,88.50000143,15,France,Marseille,TourtiÃ¨re,Meat/Poultry
2016,10,2016-10-12,2000,40,Canada,Montréal,Carnarvon Tigers,Seafood
2016,10,2016-10-12,111.9999981,10,Canada,Montréal,Singaporean Hokkien Fried Mee,Grains/Cereals
2016,10,2016-10-12,121.5999985,16,Canada,Montréal,Zaanse koeken,Confections
2016,10,2016-10-13,186.0000038,10,Finland,Oulu,Tofu,Produce
2016,10,2016-10-13,80,10,Finland,Oulu,Sir Rodney's Scones,Confections
2016,10,2016-10-13,688.0000305,40,Finland,Oulu,Flotemysost,Dairy Products
2016,10,2016-10-16,44.79999924,8,France,Lyon,Filo Mix,Grains/Cereals
2016,10,2016-10-16,100,10,France,Lyon,Scottish Longbreads,Confections
2016,10,2016-10-17,106.3999987,7,Ireland,Cork,Chang,Beverages
2016,10,2016-10-17,250,25,Ireland,Cork,Gorgonzola Telino,Dairy Products
2016,10,2016-10-17,153.6000023,6,Ireland,Cork,Mascarpone Fabioli,Dairy Products
2016,10,2016-10-17,2035.200073,48,Ireland,Cork,Manjimup Dried Apples,Produce
2016,10,2016-10-18,316.8000069,18,Portugal,Lisboa,Chef Anton's Cajun Seasoning,Condiments
2016,10,2016-10-19,287.9999924,40,Germany,München,TunnbrÃ¶d,Grains/Cereals
2016,10,2016-10-19,597.5999908,24,Germany,München,GumbÃ¤r GummibÃ¤rchen,Confections
2016,10,2016-10-19,303.9999962,20,Germany,München,Inlagd Sill,Seafood
2016,10,2016-10-19,582.3999786,28,Germany,München,Gravad lax,Seafood
2016,10,2016-10-19,694.9999809,25,Germany,München,Mozzarella di Giovanni,Dairy Products
2016,10,2016-10-20,624.0000153,20,USA,Anchorage,Alice Mutton,Meat/Poultry
2016,10,2016-10-20,310.5000114,15,USA,Anchorage,Nord-Ost Matjeshering,Seafood
2016,10,2016-10-23,176.0000038,10,Canada,Montréal,Chef Anton's Cajun Seasoning,Condiments
2016,10,2016-10-23,2184.000053,70,Canada,Montréal,Alice Mutton,Meat/Poultry
2016,10,2016-10-23,1103.200043,28,Canada,Montréal,Tarte au sucre,Confections
2016,10,2016-10-24,1000,20,France,Marseille,Carnarvon Tigers,Seafood
2016,10,2016-10-24,92.39999771,12,France,Marseille,Jack's New England Clam Chowder,Seafood
2016,10,2016-10-24,1471.999969,40,France,Marseille,Ipoh Coffee,Beverages
2016,10,2016-10-24,16,8,Denmark,Kobenhavn,Geitost,Dairy Products
2016,10,2016-10-24,396,9,Denmark,Kobenhavn,Raclette Courdavault,Dairy Products
2016,10,2016-10-25,364.7999954,24,Germany,München,Chang,Beverages
2016,10,2016-10-25,560,56,Germany,München,Gorgonzola Telino,Dairy Products
2016,10,2016-10-25,607.9999924,40,Germany,München,Inlagd Sill,Seafood
2016,10,2016-10-25,768.0000305,40,Germany,München,PÃ¢tÃ© chinois,Meat/Poultry
2016,10,2016-10-26,1330.000019,50,Germany,Frankfurt a.M.,Wimmers gute SemmelknÃ¶del,Grains/Cereals
2016,10,2016-10-26,40,4,Germany,Frankfurt a.M.,Scottish Longbreads,Confections
2016,10,2016-10-26,215.9999943,15,Germany,Frankfurt a.M.,LakkalikÃ¶Ã¶ri,Beverages
2016,10,2016-10-27,616.0000134,35,USA,Seattle,Chef Anton's Cajun Seasoning,Condiments
2016,10,2016-10-27,2240,70,USA,Seattle,Northwoods Cranberry Sauce,Condiments
2016,10,2016-10-30,2240,70,Germany,Cunewalde,Northwoods Cranberry Sauce,Condiments
2016,10,2016-10-30,584.0000153,80,Germany,Cunewalde,Teatime Chocolate Biscuits,Confections
2016,10,2016-10-30,100.7999983,9,Germany,Cunewalde,Singaporean Hokkien Fried Mee,Grains/Cereals
2016,10,2016-10-31,1123.200027,36,USA,Albuquerque,Alice Mutton,Meat/Poultry
2016,10,2016-10-31,607.9999924,20,USA,Albuquerque,Gnocchi di nonna Alice,Grains/Cereals
2016,11,2016-11-01,111.9999981,10,Brazil,Sao Paulo,NuNuCa NuÃ-Nougat-Creme,Confections
2016,11,2016-11-01,719.9999809,50,Brazil,Sao Paulo,Chartreuse verte,Beverages
2016,11,2016-11-01,58.79999924,4,Brazil,Sao Paulo,Boston Crab Meat,Seafood
2016,11,2016-11-01,37.19999886,6,Brazil,Sao Paulo,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,11,2016-11-02,215.9999943,15,Germany,Stuttgart,Chai,Beverages
2016,11,2016-11-02,179.9999952,25,Germany,Stuttgart,TunnbrÃ¶d,Grains/Cereals
2016,11,2016-11-03,141.6000023,24,USA,Lander,TourtiÃ¨re,Meat/Poultry
2016,11,2016-11-06,195,15,France,Toulouse,Valkoinen suklaa,Confections
2016,11,2016-11-06,518.3999863,18,France,Toulouse,Gudbrandsdalsost,Dairy Products
2016,11,2016-11-06,4216.000061,20,Austria,Graz,CÃ´te de Blaye,Beverages
2016,11,2016-11-06,100.0999975,13,Austria,Graz,Jack's New England Clam Chowder,Seafood
2016,11,2016-11-06,1193.5,77,Austria,Graz,Gula Malacca,Condiments
2016,11,2016-11-06,167.9999924,10,Austria,Graz,Louisiana Fiery Hot Pepper Sauce,Condiments
2016,11,2016-11-07,35.99999905,10,Portugal,Lisboa,GuaranÃ¡ FantÃ¡stica,Beverages
2016,11,2016-11-07,118.0000019,20,Portugal,Lisboa,TourtiÃ¨re,Meat/Poultry
2016,11,2016-11-08,201.5999908,12,Austria,Salzburg,Queso Cabrales,Dairy Products
2016,11,2016-11-08,10540.00015,50,Austria,Salzburg,CÃ´te de Blaye,Beverages
2016,11,2016-11-09,172.7999954,12,Mexico,México D.F.,Chai,Beverages
2016,11,2016-11-09,396,4,Mexico,México D.F.,ThÃ¼ringer Rostbratwurst,Meat/Poultry
2016,11,2016-11-10,89.99999762,25,UK,London,GuaranÃ¡ FantÃ¡stica,Beverages
2016,11,2016-11-10,390.0000095,25,UK,London,Ravioli Angelo,Grains/Cereals
2016,11,2016-11-13,300,30,Germany,Stuttgart,Gorgonzola Telino,Dairy Products
2016,11,2016-11-13,230.4000092,12,Germany,Stuttgart,PÃ¢tÃ© chinois,Meat/Poultry
2016,11,2016-11-13,575.9999847,20,Germany,Stuttgart,Gudbrandsdalsost,Dairy Products
2016,11,2016-11-14,743.9999771,30,Venezuela,Barquisimeto,Ikura,Seafood
2016,11,2016-11-14,398.3999939,16,Venezuela,Barquisimeto,GumbÃ¤r GummibÃ¤rchen,Confections
2016,11,2016-11-14,217.6000061,8,Venezuela,Barquisimeto,Camembert Pierrot,Dairy Products
2016,11,2016-11-15,35.99999905,10,France,Toulouse,GuaranÃ¡ FantÃ¡stica,Beverages
2016,11,2016-11-15,111.9999981,10,France,Toulouse,Sasquatch Ale,Beverages
2016,11,2016-11-15,303.9999962,20,France,Toulouse,Inlagd Sill,Seafood
2016,11,2016-11-16,778.3999786,56,UK,London,Pavlova,Confections
2016,11,2016-11-16,700,70,UK,London,Gorgonzola Telino,Dairy Products
2016,11,2016-11-16,2176.000061,80,UK,London,Camembert Pierrot,Dairy Products
